address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_est_value	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures
3111 Eton Ave Apt 4	Berkeley	CA	94705	08/29/2019	3975.0	Condominium	2.0	2.0	964.0	6120.0	1920		875000.0	1099831824	Alameda County, CA	052 156321700	204000.0	524291.0	728291.0	10206 (1.40 %)	3	125	94	197	4
2981 Southwood Dr	Alameda	CA	94501	01/14/1980	7813.0	Single Family Residence	3.0	2.5	2529.0	7112.0	1931	1720000.0		1099823196	Alameda County, CA	069 012500200	174613.0	261920.0	436533.0	5906 (1.35 %)	3	66	37	135	4
5940 Castlebrook Dr	Castro Valley	CA	94552	08/29/2019	4997.0	Single Family Residence	4.0	3.0	2310.0	8401.0	1986		1100000.0	1099881729	Alameda County, CA	085 631301700	285000.0	665000.0	950000.0	12068 (1.27 %)	3	123	79	226	4
3228 Monika Ln	Hayward	CA	94541	08/29/2019	2953.0	Townhouse	3.0	2.5	1693.0	2115.0	1980		650000.0	1099831575	Alameda County, CA	417 011001200	152388.0	355572.0	507960.0	6570 (1.29 %)	3	123	84	213	4
33416 Scarlett Ter	Union City	CA	94587	08/29/2019	3747.0	Residential - Vacant Land				1566.0			825000.0	1099849793	Alameda County, CA	475 018307000					0	67	46	116	0
1375 Saybrook Rd	Livermore	CA	94551	08/29/2019	3484.0	Single Family Residence	3.0	2.0	1366.0	8184.0	1968		767000.0	1099854137	Alameda County, CA	098 039407500	151145.0	352672.0	503817.0	6671 (1.32 %)	3	51	33	92	4
1658 34th Ave	Oakland	CA	94601	08/29/2019	6586.0	Quadruplex (4 units, any combination)	11.0	7.5	5540.0	7920.0	1989		1450000.0	1099853723	Alameda County, CA	033 212601900	144755.0	337763.0	482518.0	8367 (1.73 %)	3	308	307	310	4
6308 Rocky Point Ct	Oakland	CA	94605	08/29/2019	3988.0	Townhouse	3.0	2.5	2455.0	2749.0	2012		878000.0	1099830665	Alameda County, CA	037A316605700	160714.0	374999.0	535713.0	9645 (1.80 %)	3	308	307	310	4
990 Castle St	San Leandro	CA	94578	08/29/2019	3352.0	Single Family Residence	3.0	2.0	1344.0	5133.0	1954		738000.0	1099851001	Alameda County, CA	077D147902200	107301.0	250371.0	357672.0	4763 (1.33 %)	3	123	79	226	4
3005 Leger Ct	Pleasanton	CA	94588	08/29/2019	5496.0	Single Family Residence	4.0	2.0	1952.0	7264.0	1984		1210000.0	1099842208	Alameda County, CA	946 112402100	146961.0	352893.0	499854.0	5793 (1.15 %)	0	33	19	65	0
2119 Brandywine Pl	Hayward	CA	94542	08/29/2019	2794.0	Single Family Residence	3.0	2.5	1458.0	1929.0	1997		615000.0	1099833291	Alameda County, CA	425 040006800	146000.0	340543.0	486543.0	6074 (1.24 %)	3	123	84	213	4
5612 Martin Luther King Jr Way	Oakland	CA	94609	09/13/2017	3588.0	Store/Office (mixed use)	5.0	3.5	3600.0	4480.0	1922		790000.0	1099845741	Alameda County, CA	014 121001700	340000.0	520000.0	860000.0	4220 (0.49 %)	3	308	307	310	4
39706 Fog Shrew Rd	Newark	CA	94560	08/29/2019	6618.0	Residential - Vacant Land				4303.0			1457000.0	1099940430	Alameda County, CA	901 020303000					0	86	56	155	0
38455 Bronson St Apt 126	Fremont	CA	94536	08/29/2019	1726.0	Condominium	1.0	1.0	750.0		1970		380000.0	1099835054	Alameda County, CA	501 153411100	64430.0	148718.0	213148.0	2987 (1.40 %)	3	59	40	103	4
3440 68th Ave	Oakland	CA	94605	08/29/2019	2317.0	Single Family Residence	3.0	1.0	1207.0	5282.0	1920		510000.0	1099853323	Alameda County, CA	037A275506400	135609.0	316422.0	452031.0	7181 (1.58 %)	3	308	307	310	4
3320 E 22nd St	Oakland	CA	94601	RECENTLY SOLD	2439.0	Duplex (2 units, any combination)	5.0	2.0	1915.0	5870.0	1900	537000.0		1099852764	Alameda County, CA	027 083801300	26829.0	12886.0	39715.0	1921 (4.83 %)	3	308	307	310	4
1120 Rosewood Way	Alameda	CA	94501	08/29/2019	5246.0	Single Family Residence	4.0	2.0	1790.0	5000.0	1963		1155000.0	1099837730	Alameda County, CA	074 128003100	40772.0	92148.0	132920.0	2418 (1.81 %)	3	66	37	135	4
60 Adair Way	Hayward	CA	94542	08/29/2019	6423.0	Single Family Residence	4.0	5.0	4358.0	9125.0	2016		1414000.0	1099830293	Alameda County, CA	085A643403300	370056.0	863430.0	1233486.0	15146 (1.22 %)	3	123	84	213	4
21103 Gary Dr Apt 319E	Hayward	CA	94546	08/29/2019	2589.0	Condominium	3.0	2.0	1354.0	2.76	1993		570000.0	1099852841	Alameda County, CA	415 025255300	110737.0	258386.0	369123.0	4895 (1.32 %)	3	123	84	213	4
2768 Parker Ave	Oakland	CA	94605	08/29/2019	2135.0	Single Family Residence	2.0	1.0	1031.0	5375.0	1938		470000.0	1099852366	Alameda County, CA	040 340404000	19011.0	23448.0	42459.0	1658 (3.90 %)	3	308	307	310	4
