address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures	year_sold
28585 Las Arubas	Laguna Niguel	CA	92677	11/07/2019	3075.0	Single Family Residence	3.0	3.0	1270.0	3250.0	1988.0	677000.0	1101845224	Orange County, CA	65457221	509390.0	146627.0	656017.0	6654 (1.01 %)	3	29.0	26.0	35.0	4	2019
1843 W Almond Ave	Orange	CA	92868	11/07/2019	2884.0	Single Family Residence	2.0	2.0	1385.0	8418.0	1956.0	635000.0	1101842287	Orange County, CA	39024105	431326.0	78470.0	509796.0	5753 (1.12 %)	3	55.0	41.0	85.0	4	2019
56 Sandpiper Ln	Aliso Viejo	CA	92656	11/07/2019	1467.0	Condominium	1.0	1.0	622.0		1989.0	323000.0	1101828025	Orange County, CA	93799446	249421.0	71579.0	321000.0	3206 (0.99 %)	3	16.0	10.0	29.0	4	2019
1430 Santiago Dr	Newport Beach	CA	92660	11/07/2019	13173.0	Single Family Residence	4.0	4.0	2965.0	9945.0	1965.0	2900000.0	1101771922	Orange County, CA	11778506	1629484.0	501820.0	2131304.0	22752 (1.06 %)	3	49.0	31.0	90.0	4	2019
24322 Santa Clara Ave Apt 4	Dana Point	CA	92629	11/07/2019	3552.0	Cooperative	2.0	2.0	1179.0		1965.0	782000.0	1101771170	Orange County, CA	89701004	514546.0	78006.0	592552.0	6354 (1.07 %)	3	33.0	23.0	55.0	4	2019
5582 Belle Ave	Cypress	CA	90630	11/07/2019	2939.0	Single Family Residence	4.0	2.0	1248.0	6200.0	1961.0	647000.0	1101775517	Orange County, CA	24112202	519348.0	62652.0	582000.0	6778 (1.16 %)	3	31.0	15.0	68.0	4	2019
46 S La Senda Dr	Laguna Beach	CA	92651	11/07/2019	12401.0	Single Family Residence	3.0	3.0	1445.0	3180.0	1958.0	2730000.0	1101841149	Orange County, CA	5620407	1956354.0	85870.0	2042224.0	22600 (1.10 %)	3	69.0	50.0	112.0	4	2019
1826 W Sycamore Ave	Orange	CA	92868	11/07/2019	3266.0	Single Family Residence	4.0	3.0	1824.0	6800.0	1959.0	719000.0	1101827628	Orange County, CA	3934317	577449.0	116051.0	693500.0	7699 (1.11 %)	3	55.0	41.0	85.0	4	2019
9823 Shamrock Ave	Fountain Valley	CA	92708	11/07/2019	554.0	Single Family Residence	4.0	3.0	2268.0	6650.0	1973.0	122000.0	1101761220	Orange County, CA	14358116	519174.0	196555.0	715729.0	8245 (1.15 %)	3	41.0	11.0	110.0	4	2019
8152 Scholarship	Irvine	CA	92612	11/07/2019	13332.0	Condominium	3.0	4.0	3694.0		2005.0	2935000.0	1101723649	Orange County, CA	93069527	2121762.0	733267.0	2855029.0	31515 (1.10 %)	3	30.0	22.0	48.0	4	2019
1613 W Walnut Ave	Fullerton	CA	92833	11/07/2019	2362.0	Single Family Residence	3.0	2.0	1471.0	6000.0	1955.0	520000.0	1101766932	Orange County, CA	3046308	29530.0	39550.0	69080.0	1026 (1.48 %)	3	65.0	49.0	100.0	4	2019
14087 Livingston Mdws # 26	Garden Grove	CA	92844	11/07/2019	2021.0	Condominium	3.0	3.0	1232.0		1978.0	445000.0	1101727969	Orange County, CA	93580026	106246.0	116923.0	223169.0	2937 (1.31 %)	3	76.0	57.0	122.0	4	2019
5511 Emerywood Dr	Buena Park	CA	90621	11/07/2019	4429.0	Single Family Residence	5.0	4.0	4465.0	12075.0	1983.0	975000.0	1101900013	Orange County, CA	28910101	749977.0	444017.0	1193994.0	13382 (1.12 %)	3	71.0	40.0	145.0	4	2019
8492 Hillhead Dr	Huntington Beach	CA	92646	11/07/2019	4086.0	Single Family Residence	5.0	3.0	2568.0	5003.0	1969.0	899500.0	1101838305	Orange County, CA	14804331	772945.0	114455.0	887400.0	10213 (1.15 %)	3	57.0	47.0	82.0	4	2019
6485 San Marcos Way	Buena Park	CA	90620	11/07/2019	2680.0	Single Family Residence	4.0	2.0	1355.0	6000.0	1953.0	590000.0	1101831962	Orange County, CA	6930204	418271.0	69056.0	487327.0	5716 (1.17 %)	3	71.0	40.0	145.0	4	2019
22 Shea Rdg	Rancho Santa Margarita	CA	92688	11/07/2019	4233.0	Single Family Residence	4.0	4.0	3309.0	4900.0	1998.0	932000.0	1101723702	Orange County, CA	78019363	215561.0	352791.0	568352.0	7755 (1.36 %)	3	13.0	9.0	23.0	4	2019
43 Ellsworth St # 21	Ladera Ranch	CA	92694	11/07/2019	2398.0	Condominium	3.0	3.0	1698.0		2002.0	528000.0	1101836799	Orange County, CA	93192421	241972.0	190965.0	432937.0	6318 (1.45 %)	3	39.0	34.0	51.0	4	2019
111 Ritual	Irvine	CA	92618	11/07/2019	7792.0	Single Family Residence						1715500.0	1101725886	Orange County, CA	59125105	3117.0	0.0	3117.0	2541 (81.55 %)	0	30.0	22.0	48.0	0	2019
25 Tierra Seguro	Rancho Santa Margarita	CA	92688	11/07/2019	2326.0	Condominium	2.0	3.0	1241.0		1995.0	512000.0	1101833974	Orange County, CA	93812372	300826.0	148626.0	449452.0	5806 (1.29 %)	3	13.0	9.0	23.0	4	2019
